"judul_webtoon","sinopsis_webtoon"
"My Pre-Wedding","Nyaris tidak saling kenal, tiba-tiba dilamar? Gimana Adelia nggak kaget begitu Adimas muncul dan memintanya jadi istri! Ngobrol saja hampir tidak pernah. Gimana ya cara Adimas meyakinkan Adelia agar mau menikah dengannya?"
"Yumi's Cells","Kisah Yumi dan sel otaknya yang rumit!"
"The God of High School","Turnamen untuk mencari anak SMA paling tangguh!"
"Prince of Prince","Hubungan dua lelaki ini mencurigakan. Ada apa sih?"
"Possessed","Paranormal yang tidak percaya hantu bertemu gadis yang bisa melihat hantu..."
"Only You Don't Know","Setiap wanita pandai menyimpan rahasianya"
"My Heart Is Beating","Hidup yang membosankan kini penuh debaran lagi"
"Shiver","Lebih nyata, lebih mencekam...Masih berani?"
"Summer Miracle","Mengenang kisah cinta masa SMA yang manis dan terus diingat"
"Super Santai","Kelompok pahlawan super dengan kearifan lokal. Siap membasmi bumi dari serangan kelompok alien jahat G.I.A.T!"
"Tahilalats","Cerita random kehidupan masyarakat kekinian."
"HIVE","Tolong! Serangga raksasa menguasai bumi!"
"LOOKISM","Cowok ini punya 2 wujud! Pilih yang mana ya..?"
"WE JUST BROKE UP","Kita putus! Tetapi mengapa masih harus bersama?"
"DISTANT SKY","Kehancuran menyelimuti Seoul. Keheningan, kegelapan, kematian...apa yang terjadi di Seoul?"
"A Simple Thinking About Bloodtype","Cocokkah golongan darah dengan sifatmu? Komik sifat golongan darah yang terkenal akan membuatmu tertawa!"
"Kumpulan Kisah Misteri Korea","Horor asli Korea yang mencekam. Cerita seram asli Korea yang akan membuatmu ketakutan sepanjang malam"
"Dead Days","Dari mana asal virus zombie yang menyebar? Bisakah mereka yang tersisa bertahan hidup di tengah kehancuran umat manusia?"
"God of Bath","Bisakah Heo Sae jadi Dewa Pemandian sejati? Heo Sae si pengangguran yang penuh pencitraan terpaksa jadi penggosok daki di pemandian umum karena dililit hutang. Konon, ia memiliki Tangan Dewa Pemandian yang sakti… tapi sayangnya Heo Sae benci jadi penggosok daki."
"About Death","Siapa yang ada di sana, serta apa yang sebenarnya terjadi? Kumpulan kisah penuh makna dalam batas antara hidup dan mati."
"Nostalgia Ramadhan Si Juki Kecil","Cerita konyol Ramadhan pertama Si Juki saat ia masih bocah cilik yang lugu. Siap-siap tertawa sambil menunggu saat berbuka puasa!"
"The Gamer","Bagaimana kalau hidupmu seperti bermain game? Bagaimana kalau kamu bisa meningkatkan status dan levelmu dengan melakukan berbagai hal sehari-hari? Dunia penuh fantasi akan datang padamu!"
"Cheese in the Trap","Kenapa senior ganteng itu begitu suka aku? Seol Hong adalah mahasiswa pekerja keras yang baru kembali kuliah setelah cuti. Namun, Seol merasa hidupnya menjadi lebih sial sejak dekat dengan Jung Yu, seniornya yang terkenal sebagai cowok sempurna. Apakah Jung sengaja? Ataukah Seol hanya berprasangka?"
"GUDANG CERITA HOROR: KOLEKSI MIMPI-MIMPI BURUK","Sudah lewat tengah malam tapi masih mau baca yang seram? Inilah tempatnya... Selamat datang di dunia penuh mimpi buruk dan teror, berisi kumpulan kisah horor dari para ahli horor di LINE Webtoon...."
"unTouchable","Tidak sabar menyentuhmu! Sia Lee adalah vampir masa kini yang tidak lagi minum darah. Ia menyerap energi manusia dengan cara menyentuh tubuh mereka. Sejak bertemu Jiho, Sia sangat ingin menyentuh tubuh pemuda itu... sayangnya Jiho si pecinta kebersihan tidak mau disentuh oleh Sia. "
"The Cliff","Dua lelaki jatuh dari tebing dan berusaha bertahan hidup sambil menunggu untuk diselamatkan. Frustrasi, kemarahan, dan konflik menguasai sehingga hidup mereka tidak pernah lagi sama...."
"Shadow","Siapa yang membereskan kota setelah super hero selesai bertarung? SHADOW (Super Human Assistance Department Office Worker) hadir untuk membereskan kota yang berantakan dan menjadi pahlawan di bawah bayang-bayang!"
"Family Over Flowers","Indah seperti bunga, kuat seperti rumput liar! Betapa elok rupawan paras keluarga Dohk, bersinar layaknya lingkaran cahaya dan tiada duanya. merekalah Family Over Flowers!"
"Piraku x Piraku","Ingin memiliki kekuatan super? Sebelum meninggal, Ayah memberi tahu anak-anaknya bahwa keluarga mereka memiliki rahasia! Apakah mereka dapat menerima kenyataan bahwa mereka memiliki kekuatan super? Ikuti terus petualangan seru keluarga unik ini di Piraku x Piraku!"
"Just for Flat Jokes","Lelucon-lelucon pendek yang garing tapi kocak, akan membuatmu tertawa dengan keanehannya."
"Si Juki: LIKA LIKU ANAK KOS","Lika-liku anak kos yang kocak! Komik asli Indonesia yang mengisahkan pahit manisnya kehidupan anak kos. Penuh canda dan tawa dengan selipan kritik tentang isu yang sedang hangat saat ini."
"New Normal: Class 8","Hari-hari biasa di sekolah yang tidak biasa! Yang justru membuat hidup menjadi seru dan berwarna. Ikuti petualangan anak-anak di sekolah unik ini!"
"My Kitty and Old Dog","Hewan-hewan lucu akan membuat hatimu terenyuh. Kisah anjing pudel tua dengan penglihatan kabur dan anak kucing lucu yang selalu menanti perhatian dan rasa sayang dari sang majikan. Hewan-hewan lucu ini akan membuat hatimu terenyuh serta mungkin menitikkan air mata."
"Friday: Forbidden Tales","Kisah kelam dan seram tiap hari Jumat... Setiap hari Jumat, kisah-kisah kelam, aneh, dan mengerikan akan terungkap...."
"Noblesse","Rai, vampir termulia, bangun dari tidur panjangnya selama 820 tahun. Ia harus memulai hidup barunya sebagai pelajar di sekolah yang didirikan pelayan setianya. Namun hari-harinya terganggu dengan munculnya serangan-serangan misterius dari kelompok yang menyebut dirinya ""Unions""."
"Smile Brush","Kisahnya akan menghangatkan hatimu. Cerita-cerita mengenai Waroo, anak laki-laki berambut panjang yang suka berpetualang."
"DICE","Peruntungan hidup dalam guliran dadu. Bagaimana jika kamu dapat memulai kembali hidupmu seperti layaknya permainan? DONG TAE selalu diganggu oleh teman-teman sekelasnya, sedangkan TAE BIN, adalah teman sebangkunya yang tampan dan populer. Kemudian, TAE BIN menyaran agar DONG TAE memulai permainan dengan sebuah dadu misterius."
"Tales of the Unusual","Aneh, menegangkan, misterius, tidak biasa… Kisah-kisah hanya untukmu yang berani membacanya."
"For the Sake of Sita","Seorang murid sekolah kedokteran yang berkunjung ke Nepal, jatuh cinta dengan sang dewi yang jatuh dari surga. Ia lalu berjuang keras melawan takdir untuk menyelamatkan kekasihnya tercinta."
"10th Dimension Boys","Generasi muda dimensi ke-10 yang absurd. Cerita pendek generasi muda di Dimensi Ke-10 yang aneh."
